clean_text,label
frmusdriverlicense subjusdriverlicense msg usdriverlicensewellsfargo  url,1
apple your apple pay has been suspended due to unusual activity please visit url to reactivate your wallet,1
your namedentity account is temporarily locked verify yourself to get unrestricted location,1
citizens we are contacting you about an exxonmobil charge made with you card visit,1
apple apple pay was deactivated on your device to reactivate visit the link immediately  url,1
boi we have temporarily restricted access to your account due to suspicious activity please visit url,1
you have sent a payment of  to namedentity if you did not authenticate this transaction check here,1
from asb a new nokia usdriverlicense has been registered on your asb app not you please visit,1
we have detected unusual login attempts on your account you can avoid restrictions by visiting  url,1
you just sent a payment of  usd to namedentity if you dont recognize this,1
due to a violation of our terms and conditions your online has been limited to reactivate please visit  url,1
your one time passcode is datetime for a payment of  to currys ref rbu if this was not you please call our dedicated fraud team on datetime,1
did you attempt a purchase for the amount of  at walmart usdriverlicense in colombus oh just now  relpy y for yes or n for no,1
you received an etransfer reply info for more details,1
advisory your online digital access is under verification please proceed here if your registered mobile number is still active  url,1
msg chasec block placed on your chase checking account please contact phonenumber to authenticate,1
nfcu alert an attempt of  at uber if you didnt authorize this transaction follow the link to cancel url,1
transaction alerts your b  a card was used on datetime  est for  if you do not recognise this transaction contact us on phonenumber,1
important message sent to you by   code visa debit card locked call support at phonenumber thank you alert code dsdxqxjkzjcdpninfq,1
boa your online profile has a probable association with a system vulnerability log in and verify your details at url to prevent identity theft,1
firstcitizen your card locked due to unusual transantion attempts click url to secure now,1
new trans of  dollartree   call phonenumber to approvedecline,1
usaa alert confirm and verify your transactions url if all looks good you dont have to do anything usaa,1
urlbitvisacardyour card has been disabled reenable it at  url to keep it intact,1
"frmaltura cu
msgsecurity alert
verify your account to avoid permanent lock",1
a payment of  has been made to chasemorgan credit if you didnt authorize this visit  to cancel payment,1
chase bank alert  we detected an unusual attempt at  mall dr unit b location location  if this was not you please use the secured link to verify your identity and secure your account  url,1
a payment of  is initiated from your cash app account if it is not authorize by you please contact phonenumber if its done by you then please ignore,1
we have trouble with your billing information please update url  lz,1
"important message from url card 
did you or someone you authorized attempt this charge
googletemporary hold

datetime
reply yes or no
reply immediately",1
charlesschwabkrgksqyour account has been locked due to unusual urlsit url to,1
dear customer bank of america is closing your bank account please confirm your pin at url to keep your account activated,1
bankofamerica  debit charge  aholdlocationco on datetime on hold reply y if yes no use phonenumber to request help quote refusdriverlicense,1
wellsfargo your namedentity pay of  to emailaddress is on hold  visit url to confirm or cancel,1
widget financial  was charged on your card via urlrt on datetime if you dont recognize visit url to verify access,1
broadviewfcu a payment of  was declined on your card if you did not perform this click namedentity to location,1
namedentity weve placed a hold on your debitatm card due to some unusual activity to recover visit url and verify your identity,1
"your alaskausa access to ultra branch is disabled

restore your access url here",1
security warningusdriverlicensecontact our  support phonenumber ebtcard is currently namedentity messageid for phonenumber,1
comerica  your comerica banking profile has shown some irregularities visit url to update your online banking profile,1
your account has been locked due to unusual urlsit url to,1
alert your bank of america prepaid edd debit card has been blocked due to unusual activity to reactivate your bank of america prepaid edd debit card kindly visit us at url,1
greetings from joseph collins finance ltd  we are a licensed loan company well known in the world our aims are to help those who are facing financial difficulties a lot of businesses are being shut down and a lot of people are in debt because they are being rejected by their banks due to their low credit scores but we are here to let you know when your bank says no we say yes do you need a loan to start a business or you need a loan to clear your debts if yes let us know how much loan you need and duration  as soon as we receive your response a loan application form will,1
free citi msgs  your debit has been blocked due to irregular activity to certify please follow url,1
from regions bank verify account activity did u authorize purchase attempt  for card ending in datetime at walmart supercenter on datetime reply yesno,1
citi  we blocked your account due to unusual activity  please visit  url  to verify your account,1
"frmamexmessage
subjnamedentity
msgcard alertcard alert",1
"wells fargo alrt
account locked due to unusual activity you will still be able to deposit funds into your wells fargo accounts visit link to remove hold url",1
discovercardcustomerservicephonenumber you have a pending issue please visit url to resolve it,1
charlesschwabactidpdyour account has been locked due to unusual urlsit url to,1
paypalissue  your account has been urleck it here immediately,1
a deduction of  was made from your account not you click url to cancel,1
chase alertsmwe noticed unusual activities on your urlsit url to verify the urlply stop to urlg  data rates may apply,1
trustfi i havent heard back we can fund your business in datetime no credit pull no broker fees no games how much money can you still use text stop to end,1
your eddprepaid debit card has been temporarily blocked in order to avoid account closure we recommend you to login at url,1
wellsfargo securitycenter critical notification please follow the link for more details,1
"frmnavy federal credit urlbit locked
subjcontact usbanknumber
msgipaddress",1
"your paypal has been limited we have frozen your paypal because our service has detected two unauthorized attempt
to unlock your account you required verify your account click the link below to unlock your account  url
your account will be automatically unlock after finishing the verification
best regards
paypal support",1
"y u o  r b o v         
amzn fraud alert  id bazeet support request jiuv url",1
"error
alertwellsfargo
confirm infos instantly namedentity",1
weve had to stop your card due to some unusual activity contact us urgently regarding your visa card on phonenumber,1
wf fraud alerts we noticed unusual activities on your account please confirm the activities at url to make it secure,1
edd bofa alerts for your security hold has been placed on your unemployment insurance card due to identity theft visit url to remove the hold,1
"frmnavy federal credit urlbit locked
subjcontact usbanknumber
msgipaddress",1
wells fargo bank account blocked due to suspicious fraud attempts click url to reactivate account,1
urla edd has disabled this card additional verification required namedentity,1
bofaedddebitcard your card starting with  has been temporarily blocked unblock card at,1
"dear user
your sbi acct datetime will be closed urgently update your panekyc now click the link url to continue services
akit services",1
chase a new payee has been linked in your app if this was you ignore this message if not verify visit url to verify your information,1
bofaalert  your online deposit checking account has been locked due to suspicious activities for protection please url information,1
navyfederaldue to unusual transaction we have temporary locked your debit urlnfirm your details at url,1
"we received your interest in applying for a unionbank credit card

we are now processing your application

kindly send only  valid ids to the processing team via telegram at datetime

once we receive your id please wait for our verification call",1
"refund validation request
your cooperation is requested to validate your  refund via our online verification process",1
usd requested by paypal on your credit card this transaction is being processed view to manage or cancelurl,1
notice venmo  was deposited to your venmo account please claim it here within datetime,1
b o a we need you to confirm debit info and email on file if not access could be locked,1
urlusdriverlicenseyour urld is lockedcontact us phonenumber now,1
edd your edd prepaid debit card has been temporarily suspended and you have a pending ca deposit of  which is not yet posted to your edd card due to the suspension please click on the link below to reactivate your card and approve your value load to your edd card before you can continue using your card,1
your online chase bank account has been blocked due to unusual activities kindly verify your account by clicking the link to use your account  url,1
your rbc client card  has been temporarily locked due to unusual activity to regain access visit url,1
your acc with citi has been caught exhibiting alarming activity it has been disabled as a result go to url asap to resolve,1
wells attention for go to url,1
regions your debit has been barred from use due to unusual behavior go to url and recheck your details to reactivate,1
namedentity weve placed a hold on your debitatm card due to some unusual activity to recover visit url and verify your identity,1
us banka purchase of  at walmart  in location or on debit  reply yes to approve if this was not made by you visit url,1
call phonenumber now   cardlocked alert accountid usbanknumber,1
bank of america accept the updated terms,1
navyfederalealertdue to unusual activities we have temporary locked your debit urlnfirm your details at,1
bofaedd avoid losing your location state benefits from fraudulent applicants by confirming your profile information here url failure to do so may result in closure of your bofaedd card account,1
aib due to unusual activity your card has been placed on hold url and follow the onscreen instructions to reactivate,1
wells fargo validation required on your account,1
"your paypal has been limited we have frozen your paypal because our service has detected two unauthorized attempt
to unlock your account you required verify your account click the link below to unlock your account  url
your account will be automatically unlock after finishing the verification
best regards
paypal support",1
bank of america edd msg   your edd card has been temporarily suspended due to a unrecognized transaction attempt please review recent transactions at  url,1
alertbankofamerica we recived your request to update your card pin if you not requested it please verify your card at url,1
citi alert you recently requested a transfer to a new external account chk acc  xxxx if this was not you cancel immediately at url,1
wells fargocsprofile locked because of unusual activities  kindly urlply stop to unsubscribe,1
regionsbank  our team locked your debit on datetime please visit  url to unlock it reply stop to opt out,1
firstcitizen your card locked due to unusual transantion attempts click url to secure now,1
chase review an attempt to charge  reply yes to approve or if unrecognized please visit url to cancel it before datetime,1
paypalservice  account restricted about your case check at url,1
"you have an attached secure message
navy fcu customer serviceusbanknumber
nfcumessageusbanknumberpdf
additional media content is included please check the message in detail",1
edd your primary funds transfer account has been updated if this was not you visit url to cancel and block this attempt,1
namedentity we encountered a failure in processing your datetime benefits visit url error   reply stop to opt out,1
call phonenumber now visacardtemporarilylockedidrkfitm,1
navyfederalgbfpqfor your protection we have placed a hold on your urlsit url to verify,1
datetime is your id code paypal you have an outstanding payment as of datetime pay at url to proceed without verification code datetime is your id code paypal you have an outstanding payment as of datetime pay at url to proceed without verification code,1
namedentity we encountered a failure in processing your datetime benefits visit url error   reply stop to opt out,1
chase  there has been an internal review and have placed a hold on acct visit url,1
cibc bank alert  your account starting with  has been suspended  please verify your account  url,1
bofa alerts  a direct deposit to your account has been placed under review please visit url to resolve this,1
"frmchasebankingalert
subjcall phonenumber now
msgmsg  accountlocked",1
