clean_text,label
pengguna sbi yang terhormat ac sbi yono anda telah diblokir silakan perbarui pan card anda klik di sini untuk login net banking anda perbarui no pan anda,1
akun anda telah dibekukan sementara untuk melanjutkan penggunaan akun aib anda silakan kunjungi url dan verifikasi akun anda,1
pengguna sbi yang terhormat akun sbi yono anda telah diblokir silakan masuk ke kartu pan anda klik di sini untuk membuka kunci nomor pan anda url,1
pelanggan yang terhormat dapatkan informasi pensiun anda di ujung jari anda dengan mendaftarkan diri anda di portal sbi pensionserva baru ini sederhana dan berfungsi di android atau ios mobile anda juga silakan abaikan jika sudah terdaftar,1
akun unionbank anda telah dinonaktifkan karena alasan keamanan karena pelanggaran data barubaru ini verifikasi dan aktifkan akun anda di,1
pengguna sbi yang terhormat akun sbi yono anda telah diblokir silakan masuk ke kartu pan anda klik di sini untuk membuka kunci nomor pan anda url,1
pelanggan yang terhormat akun hdfc anda akan diblokir datetime harap perbarui pan card anda,1
pelanggan pytm yang terhormat kyc pytm anda telah ditangguhkan hubungi kantor pytm ph datetime segera akun anda akan diblokir dalam waktu datetime terima kasih tim pytm,1
"pengguna sbi yang terhormat
akun sbi yono anda akan diblokir datetime karena kyc belum lengkap untuk update nomor kartu pan ikuti link",1
pengguna sbi yang terhormat akun sbi yono anda telah diblokir harap perbarui kartu pan anda klik di sini untuk login net banking anda perbarui nomor pan anda url,1
mudra yojana   rsusdriverlicense siap dikenakan sanksi  verifikasi nomor ponsel anda dan periksa kelayakan pinjaman dalam datetime,1
fnb  akun anda tidak diperbarui di server  dan akan diblokir dalam  jam klik url  perbarui akun fnb,1
bank standar perlu diketahui bahwa notifikasi namedentity dikenakan biaya usdriverlicense per sms jika anda ingin mengubah notifikasi email menjadi gratis hubungi relationship manager anda memilih untuk tidak ikut serta balasan berhenti,1
pengguna hdfc yang terhormat akun hdfc netbanking anda akan diblokir datetime silakan klik tautan tersebut dan segera perbarui nomor pan card anda,1
akun anda telah dinonaktifkan silakan ikuti petunjuk di url atau hubungi kami pada datetime untuk memulihkan akses anda,1
anda melakukan transfer satu kali sebesar sgd  ke no rekening diakhiri dengan  pada  datetime waktu sg jika tidak sah hubungi hotline penipuan,1
dear hdfc user ac bank anda telah diblokir datetime perbarui pancard verifikasi ac anda dengan login netbanking untuk kyc klik tautan di sini,1
pengguna yang terhormat akun sbi yono anda akan diblokir datetime harap perbarui,1
rbfmmate dikonfirmasi anda telah menerima ksh mulai namedentity datetime saldo mpesa baru adalah ksh bayar tagihan melalui mpesa,1
pelanggan yang terhormat rekening sbi net banking anda akan habis masa berlakunya datetime untuk melanjutkan layanan update pan ke rekening anda klik url  sbncp,1
"pelanggan yang terhormat
kyc ptam anda telah kedaluwarsa untuk melakukan kyc terverifikasi segera hubungi phonenumber akun anda tidak akan berfungsi dalam datetime terima kasih",1
pemberitahuan penting nedbank perbarui akun nedbank anda untuk keamanan  di server datetime kami ketuk  url untuk memverifikasi dan mengamankan,1
